"Tissue","OG","n_pairs","Pairs","gene_name","name_source"
"Brain","OG_0000001",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","SEC31B","parsed_from_gene_id"
"Brain","OG_0000039",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","FHL5","taeGut_geneID"
"Brain","OG_0000086",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","CLCN7","taeGut_geneID"
"Brain","OG_0000129",4,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","GRM2","taeGut_geneID"
"Brain","OG_0000132",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","GRM4","taeGut_geneID"
"Brain","OG_0000394",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","CYP51A1","taeGut_geneID"
"Brain","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CYP8B1","taeGut_geneID"
"Brain","OG_0001113",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","ABCA2","taeGut_geneID"
"Brain","OG_0001300",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ABCC2","taeGut_geneID"
"Brain","OG_0001309",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","RAB24","taeGut_geneID"
"Brain","OG_0001340",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","HRAS","taeGut_geneID"
"Brain","OG_0001351",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","RAP2C","taeGut_geneID"
"Brain","OG_0001364",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","RAB2A","taeGut_geneID"
"Brain","OG_0001480",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","stringtie_mRNA_17996","parsed_from_gene_id"
