"Tissue","OG","n_pairs","Pairs","gene_name","name_source"
"Heart","OG_0000082",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","HDAC5","taeGut_geneID"
"Heart","OG_0000145",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","stringtie_mRNA_33679","parsed_from_gene_id"
"Heart","OG_0000278",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","SYNE2","parsed_from_gene_id"
"Heart","OG_0001094",5,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","SLC6A6","parsed_from_gene_id"
"Heart","OG_0001110",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MYO1F","taeGut_geneID"
"Heart","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","stringtie_mRNA_44623","parsed_from_gene_id"
"Heart","OG_0001154",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","ACAP2","taeGut_geneID"
"Heart","OG_0001165",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","stringtie_mRNA_23724","parsed_from_gene_id"
"Heart","OG_0001336",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","RAB7A","taeGut_geneID"
"Heart","OG_0001340",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","HRAS","taeGut_geneID"
"Heart","OG_0001973",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","PER2","galGal_geneID"
"Heart","OG_0002035",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","Scn4a","parsed_from_gene_id"
"Heart","OG_0002136",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","ENPP1","taeGut_geneID"
"Heart","OG_0002165",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","VPS13C","parsed_from_gene_id"
"Heart","OG_0002191",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","ING1","taeGut_geneID"
"Heart","OG_0002266",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","OGT","taeGut_geneID"
"Heart","OG_0002290",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","CCPG1","taeGut_geneID"
"Heart","OG_0002322",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","LOC100190204","taeGut_geneID"
"Heart","OG_0002405",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","ITGB4","taeGut_geneID"
"Heart","OG_0002450",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","stringtie_mRNA_57594","parsed_from_gene_id"
"Heart","OG_0002453",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CAP1","taeGut_geneID"
"Heart","OG_0002508",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CTNNA1","taeGut_geneID"
"Heart","OG_0002594",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","DNAJC18","parsed_from_gene_id"
"Heart","OG_0002697",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","CACNA2D1","parsed_from_gene_id"
"Heart","OG_0002701",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","FBXO30","taeGut_geneID"
"Heart","OG_0002765",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CCDC14","taeGut_geneID"
"Heart","OG_0002816",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","SHOC2","taeGut_geneID"
"Heart","OG_0003027",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","NR3C1","taeGut_geneID"
"Heart","OG_0003087",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","VCP","taeGut_geneID"
"Heart","OG_0003095",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","IGSF3","taeGut_geneID"
"Heart","OG_0003117",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","FGD5","taeGut_geneID"
"Heart","OG_0003278",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","FOXO1","taeGut_geneID"
"Heart","OG_0003299",5,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","SSTR1","taeGut_geneID"
"Heart","OG_0003322",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","P3H1","taeGut_geneID"
"Heart","OG_0003379",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","USP8","taeGut_geneID"
