"Tissue","OG","n_pairs","Pairs","gene_name","name_source"
"Kidney","OG_0000031",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","F8","taeGut_geneID"
"Kidney","OG_0000039",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","FHL5","taeGut_geneID"
"Kidney","OG_0000094",2,"thaAmb_vs_thaPel;thaRuf_vs_thaTor","CLCN3","taeGut_geneID"
"Kidney","OG_0000145",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","stringtie_mRNA_33679","parsed_from_gene_id"
"Kidney","OG_0000149",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","TRPM6","galGal_geneID"
"Kidney","OG_0000278",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","SYNE2","parsed_from_gene_id"
"Kidney","OG_0000302",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","SLC22A15L","galGal_geneID"
"Kidney","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","SLC2A2","taeGut_geneID"
"Kidney","OG_0000315",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","LOC101233554","taeGut_geneID"
"Kidney","OG_0000316",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","LOC115497385","taeGut_geneID"
"Kidney","OG_0000317",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","SLC2A11L4","galGal_geneID"
"Kidney","OG_0000394",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","CYP51A1","taeGut_geneID"
"Kidney","OG_0000398",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","CYP7B1","taeGut_geneID"
"Kidney","OG_0000399",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","CYP24A1","taeGut_geneID"
"Kidney","OG_0000400",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","CYP11A1","taeGut_geneID"
