"Tissue","OG","n_pairs","Pairs","gene_name","name_source"
"Liver","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","SLC2A2","taeGut_geneID"
"Liver","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CYP8B1","taeGut_geneID"
"Liver","OG_0001094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","SLC6A6","parsed_from_gene_id"
"Liver","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","stringtie_mRNA_44623","parsed_from_gene_id"
"Liver","OG_0001224",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","DHX29","taeGut_geneID"
"Liver","OG_0001973",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","PER2","galGal_geneID"
"Liver","OG_0002165",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","VPS13C","parsed_from_gene_id"
"Liver","OG_0002261",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","BAZ1A","taeGut_geneID"
"Liver","OG_0002266",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","OGT","taeGut_geneID"
"Liver","OG_0002290",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","CCPG1","taeGut_geneID"
"Liver","OG_0002508",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CTNNA1","taeGut_geneID"
"Liver","OG_0002557",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","CASP8AP2","taeGut_geneID"
"Liver","OG_0002576",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CCDC186","taeGut_geneID"
"Liver","OG_0002802",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","SHMT1","galGal_geneID"
"Liver","OG_0003104",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","LOC100229375","taeGut_geneID"
"Liver","OG_0003489",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","TSC22D3","taeGut_geneID"
"Liver","OG_0003585",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","USF3","taeGut_geneID"
"Liver","OG_0003659",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","XPO1","taeGut_geneID"
"Liver","OG_0003806",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","SLC30A1","taeGut_geneID"
"Liver","OG_0003830",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","SELENOI","taeGut_geneID"
"Liver","OG_0003909",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","SNX33","parsed_from_gene_id"
"Liver","OG_0004254",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","APOB","parsed_from_gene_id"
"Liver","OG_0004402",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","FKBP4","taeGut_geneID"
"Liver","OG_0004407",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","PDK1","galGal_geneID"
"Liver","OG_0004459",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","RNH1","taeGut_geneID"
"Liver","OG_0004597",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ACLY","taeGut_geneID"
"Liver","OG_0004611",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","RSBN1L","taeGut_geneID"
"Liver","OG_0004795",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","KIF5B","taeGut_geneID"
"Liver","OG_0004824",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","TFPI2","taeGut_geneID"
"Liver","OG_0004931",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","USP24","parsed_from_gene_id"
"Liver","OG_0005000",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","LOC100222881","taeGut_geneID"
"Liver","OG_0005192",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","GOLGA3","taeGut_geneID"
"Liver","OG_0005317",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","ME1","taeGut_geneID"
"Liver","OG_0005391",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","SIN3B","taeGut_geneID"
"Liver","OG_0005407",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","FAM110A","taeGut_geneID"
"Liver","OG_0005408",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","ZNF106","taeGut_geneID"
"Liver","OG_0006088",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","GCNT4","taeGut_geneID"
"Liver","OG_0006578",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","Dmbt1","parsed_from_gene_id"
"Liver","OG_0006682",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","GJB1","taeGut_geneID"
"Liver","OG_0006743",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","YWHAB","taeGut_geneID"
"Liver","OG_0006759",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","GNL2","taeGut_geneID"
"Liver","OG_0006926",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","PMPCA","taeGut_geneID"
"Liver","OG_0006943",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","RARS1","taeGut_geneID"
"Liver","OG_0007000",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MOV10","taeGut_geneID"
"Liver","OG_0007223",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","THBS1","taeGut_geneID"
"Liver","OG_0007273",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","TTC13","taeGut_geneID"
"Liver","OG_0007414",4,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","GOLGA4","taeGut_geneID"
"Liver","OG_0007520",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","INO80","taeGut_geneID"
"Liver","OG_0007577",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","TSPAN12","galGal_geneID"
"Liver","OG_0007693",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","RET","taeGut_geneID"
"Liver","OG_0007694",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","WAC","taeGut_geneID"
