"Tissue","OG","n_pairs","Pairs","gene_name","name_source"
"Muscle","OG_0000145",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","stringtie_mRNA_33679","parsed_from_gene_id"
"Muscle","OG_0000219",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","MYO18A","taeGut_geneID"
"Muscle","OG_0001340",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","HRAS","taeGut_geneID"
"Muscle","OG_0001523",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","RYR1","parsed_from_gene_id"
"Muscle","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","Bltp1","parsed_from_gene_id"
"Muscle","OG_0002145",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","stringtie_mRNA_38098","parsed_from_gene_id"
"Muscle","OG_0002322",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","LOC100190204","taeGut_geneID"
"Muscle","OG_0002557",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","CASP8AP2","taeGut_geneID"
"Muscle","OG_0002711",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","STX12","taeGut_geneID"
"Muscle","OG_0002800",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","TOP3B","taeGut_geneID"
"Muscle","OG_0003095",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","IGSF3","taeGut_geneID"
"Muscle","OG_0003198",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","ADGRF5","taeGut_geneID"
"Muscle","OG_0003352",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","CSRNP1","taeGut_geneID"
"Muscle","OG_0003474",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","GSPT1","taeGut_geneID"
"Muscle","OG_0003478",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","OAT","taeGut_geneID"
"Muscle","OG_0003535",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","NET1","taeGut_geneID"
"Muscle","OG_0003543",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","GCN1","taeGut_geneID"
"Muscle","OG_0003585",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","USF3","taeGut_geneID"
"Muscle","OG_0003659",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","XPO1","taeGut_geneID"
"Muscle","OG_0003697",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","AKAP6","parsed_from_gene_id"
"Muscle","OG_0003806",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","SLC30A1","taeGut_geneID"
"Muscle","OG_0003861",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","ATG2A","galGal_geneID"
"Muscle","OG_0003866",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","MAPK4","taeGut_geneID"
"Muscle","OG_0003973",4,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","LOC100223247","taeGut_geneID"
"Muscle","OG_0003989",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ASB11","taeGut_geneID"
"Muscle","OG_0004075",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","STEAP1","taeGut_geneID"
"Muscle","OG_0004114",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","TM9SF4","taeGut_geneID"
"Muscle","OG_0004303",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","FECH","galGal_geneID"
"Muscle","OG_0004344",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","GPBP1L1","taeGut_geneID"
"Muscle","OG_0004368",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","CILP","taeGut_geneID"
"Muscle","OG_0004402",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","FKBP4","taeGut_geneID"
"Muscle","OG_0004403",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","FKBP5","taeGut_geneID"
"Muscle","OG_0004407",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","PDK1","galGal_geneID"
"Muscle","OG_0004411",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","PDK4","taeGut_geneID"
"Muscle","OG_0004459",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","RNH1","taeGut_geneID"
"Muscle","OG_0004576",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","SGCD","parsed_from_gene_id"
"Muscle","OG_0004611",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","RSBN1L","taeGut_geneID"
"Muscle","OG_0004802",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","PCGF3","taeGut_geneID"
"Muscle","OG_0004872",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","USP13","taeGut_geneID"
"Muscle","OG_0004874",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","IDS","taeGut_geneID"
"Muscle","OG_0004888",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","stringtie_mRNA_42881","parsed_from_gene_id"
"Muscle","OG_0004891",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","LOC100220322","taeGut_geneID"
