OG	drySqu01_Brain	drySqu01_Heart	drySqu01_Kidney	drySqu01_Liver	drySqu01_Muscle	drySqu02_Brain	drySqu02_Heart	drySqu02_Kidney	drySqu02_Liver	drySqu02_Muscle	drySqu03_Brain	drySqu03_Heart	drySqu03_Kidney	drySqu03_Liver	drySqu03_Muscle
OG_0000001	25.642	20.291	298.283	369.392	12.814	0.0	42.051	160.111	514.549	0.0	341.754	341.972	16.41	0.0	97.369
OG_0000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000003	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	21.0	2.0	0.0	0.0	4.0
OG_0000023	0.0	0.0	0.0	0.0	0.0	66.857	167.914	0.0	0.0	0.0	0.0	23.566	105.066	4.062	0.0
OG_0000031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	288.209	0.0	0.0	327.734
OG_0000032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000035	9.615	288.175	44.172	22.892	184.812	41.199	78.43	46.908	0.0	63.253	47.966	0.0	23.949	31.94	67.553
OG_0000039	77.0	4.0	276.0	2.0	31.0	39.0	20.0	236.0	7.0	37.117	143.0	12.0	16.0	8.0	19.0
OG_0000068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000070	975.825	841.77	121.828	91.869	621.444	899.795	997.17	62.608	202.107	1157.574	101.936	75.366	2460.692	276.028	1368.569
OG_0000079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000082	0.0	0.0	0.0	0.0	0.0	0.0	31.625	0.0	0.0	0.0	8.875	0.0	0.0	0.0	0.0
OG_0000086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202.016	0.0
OG_0000087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000090	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	223.272	0.0
OG_0000093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000094	32.567	0.0	0.0	0.0	0.0	0.0	0.0	19.301	31.782	0.0	0.0	42.323	0.0	0.0	0.0
OG_0000114	16.019	1.073	0.0	4.341	2.89	3.159	1.069	0.0	0.0	0.0	0.0	0.0	0.0	2.069	0.0
OG_0000115	0.0	0.0	0.0	153.161	0.0	0.0	95.041	0.0	0.0	14.061	0.0	0.0	20.862	10.775	86.158
OG_0000117	0.0	59.186	0.0	0.0	31.275	106.731	0.0	145.079	55.772	0.0	214.367	0.0	0.0	48.176	92.445
OG_0000122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000129	2126.0	14.0	30.0	0.0	5.676	877.0	0.0	8.0	2.0	2.0	13.0	4.0	0.0	583.0	4.0
OG_0000132	1486.36	5.0	8.186	5.0	111.654	765.219	5.0	0.0	1.0	72.274	6.841	0.0	70.328	367.375	0.0
OG_0000145	0.0	0.0	296.854	0.0	0.0	403.445	0.0	520.875	344.152	0.0	550.038	0.0	0.0	0.0	0.0
OG_0000147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000149	0.0	0.0	154.165	41.451	0.0	0.0	29.898	207.003	239.152	0.0	206.402	32.875	13.419	0.0	0.0
OG_0000153	0.0	0.0	172.701	0.0	0.0	0.0	10.67	0.0	0.0	0.0	11.739	0.0	41.558	0.0	0.0
OG_0000157	271.016	104.806	0.0	108.105	119.201	720.263	0.0	0.0	110.631	0.0	0.0	0.0	0.0	127.735	0.0
OG_0000180	0.0	6456.936	0.0	0.0	4255.228	0.0	1827.743	0.0	0.0	1028.071	0.0	0.0	54.041	0.0	1444.099
OG_0000190	0.0	2873.766	0.0	0.0	0.0	0.0	2191.679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3261.713
OG_0000191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000197	69.56	0.0	0.0	0.0	0.0	54.187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000214	0.0	357.875	0.0	0.0	0.0	0.0	239.123	0.0	28.356	0.0	0.0	0.0	521.193	0.0	0.0
OG_0000219	0.0	20.03	0.0	0.0	8.636	13.095	0.0	0.0	0.0	0.0	0.0	0.0	119.146	0.0	124.714
OG_0000229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000239	0.0	0.0	0.0	0.0	0.0	9.323	0.0	49.037	0.0	0.0	0.0	0.0	6.0	0.0	0.5
