OG	dysSti01_Brain	dysSti01_Heart	dysSti01_Kidney	dysSti01_Liver	dysSti01_Muscle	dysSti02_Brain	dysSti02_Heart	dysSti02_Kidney	dysSti02_Liver	dysSti02_Muscle	dysSti03_Brain	dysSti03_Heart	dysSti03_Kidney	dysSti03_Liver	dysSti03_Muscle
OG_0000001	0.0	97.554	0.0	0.0	0.0	0.0	0.0	0.0	92.805	0.0	50.898	48.698	305.733	0.0	0.0
OG_0000002	0.0	36.714	63.867	0.0	0.0	0.0	132.029	16.791	0.0	47.412	0.0	62.582	52.38	34.484	0.0
OG_0000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000012	0.0	2.0	5.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	3.019	0.0	25.344	0.0
OG_0000023	41.122	113.574	47.123	23.597	23.168	100.031	134.17	58.919	18.097	0.0	0.0	139.886	75.831	27.049	41.732
OG_0000031	4.0	334.592	340.118	248.091	147.327	0.0	300.818	239.748	129.932	19.113	2.0	343.052	624.966	118.222	14.654
OG_0000032	0.0	0.0	26.847	0.0	0.0	0.0	0.0	36.043	0.0	0.0	0.0	0.0	24.9	0.0	0.0
OG_0000035	25.294	134.364	0.0	0.0	220.779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.061	0.0
OG_0000039	14.0	31.0	2665.0	18.0	109.0	10.0	26.0	1377.0	12.0	27.0	3.0	17.421	1204.0	22.0	1.266
OG_0000068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000069	0.0	0.0	96.065	0.0	0.0	11.861	0.0	0.0	21.976	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000070	0.0	0.0	0.0	0.0	0.0	3.052	0.0	0.0	0.0	0.0	3.762	0.0	0.0	0.0	0.0
OG_0000079	0.0	26.93	0.0	0.0	0.0	0.0	151.803	93.369	0.0	0.0	0.0	0.0	0.0	0.0	0.0
