OG	sakCan01_Brain	sakCan01_Heart	sakCan01_Kidney	sakCan01_Liver	sakCan01_Muscle	sakCan02_Brain	sakCan02_Kidney	sakCan02_Liver	sakCan02_Muscle	sakCan03_Brain	sakCan03_Heart	sakCan03_Kidney	sakCan03_Liver	sakCan03_Muscle	sakCan04_Heart
OG_0000001	87.889	14.867	3.789	7.634	5.35	0.0	0.0	0.0	0.0	36.41	9.161	0.0	0.0	2.184	11.046
OG_0000002	538.625	805.222	1674.272	133.399	182.788	78.875	1486.363	0.0	0.0	25.956	0.0	0.0	865.851	34.179	0.0
OG_0000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000012	0.0	3.0	0.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	9.0	14.0	0.0	2.0	0.0
OG_0000023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	519.329
OG_0000032	0.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
OG_0000035	33.505	185.329	81.911	0.0	93.51	38.853	0.0	0.0	0.0	17.733	94.335	0.0	25.109	0.0	165.784
OG_0000039	46.0	11.0	915.0	67.0	28.0	17.0	181.404	5.0	0.0	35.0	10.0	639.0	19.0	12.0	5.0
OG_0000068	46.547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.146
OG_0000069	16.966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000070	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.639	0.0	0.0	0.0	0.0	2.769
OG_0000079	14.525	0.0	3.125	0.0	0.0	0.0	0.0	4.807	0.0	0.0	0.0	0.0	13.212	0.0	0.0
OG_0000082	413.403	0.0	0.0	0.0	0.0	0.0	0.0	15.122	0.0	118.788	0.0	0.0	0.0	0.0	94.817
OG_0000086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000090	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31
OG_0000093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.974	0.0	0.0	74.32	42.655	0.0	0.0	0.0
OG_0000094	0.0	0.0	85.511	0.0	0.0	0.0	0.0	0.0	0.0	59.836	21.804	0.0	0.0	0.0	53.923
OG_0000114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000115	251.167	757.165	1843.289	1452.997	342.089	123.067	2069.053	1155.553	250.671	174.65	2592.466	2567.179	1631.712	265.284	2435.105
OG_0000117	141.063	0.0	0.0	126.806	0.0	0.0	161.127	193.387	0.0	0.0	17.696	0.0	83.036	0.0	0.0
OG_0000122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000126	384.93	0.0	0.0	0.0	0.0	19.294	0.0	0.0	0.0	210.945	0.0	0.0	0.0	0.0	0.0
OG_0000129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000145	953.017	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	74.886	0.0	0.0	0.0	0.0	0.0
OG_0000147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000149	84.0	3.0	1462.557	6.0	1.079	36.0	670.92	1.08	1.0	29.095	11.0	1374.853	6.0	2.0	2.0
OG_0000153	4.193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000157	29.871	56.311	113.246	37.26	25.06	0.0	5.733	31.037	22.531	173.789	92.197	25.377	27.279	13.662	112.694
OG_0000180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
