OG	sakCri01_Brain	sakCri01_Heart	sakCri01_Kidney	sakCri01_Liver	sakCri01_Muscle	sakCri02_Brain	sakCri02_Heart	sakCri02_Kidney	sakCri02_Liver	sakCri02_Muscle	sakCri03_Brain	sakCri03_Heart	sakCri03_Kidney	sakCri03_Liver	sakCri03_Muscle
OG_0000001	100.46	0.0	60.005	0.0	0.0	0.0	152.896	0.0	61.116	0.0	24.26	202.09	232.459	0.0	0.0
OG_0000002	0.0	51.218	195.431	0.0	22.369	111.906	110.67	211.242	0.0	0.0	0.0	0.0	28.915	0.0	32.756
OG_0000003	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0
OG_0000012	0.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0
OG_0000023	137.202	268.107	40.379	11.966	0.0	0.0	245.301	0.0	45.771	36.731	0.0	139.895	35.772	0.0	0.0
OG_0000031	0.0	532.122	74.826	98.595	240.843	0.0	508.387	83.384	83.553	195.449	0.0	643.714	90.344	186.619	286.452
OG_0000032	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
OG_0000035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.799	0.0	0.0	0.0
OG_0000039	57.0	10.678	418.843	22.0	45.0	81.0	17.0	818.148	17.0	0.0	64.0	15.0	259.986	7.0	25.0
OG_0000068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000069	0.0	0.0	0.0	0.0	0.0	36.161	0.0	0.0	0.0	0.0	0.0	20.178	0.0	0.0	0.0
OG_0000070	4.862	0.0	0.0	0.0	0.0	10.043	12.152	0.0	0.0	0.0	2.177	0.0	0.0	0.0	2.567
OG_0000079	226.587	0.0	328.835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.988
OG_0000082	12.524	0.0	0.0	0.0	0.0	102.421	11.614	24.855	0.0	0.0	14.921	0.0	0.0	0.0	0.0
OG_0000086	0.0	0.0	0.0	0.0	6.533	0.0	0.0	0.0	4.185	0.0	0.0	0.0	32.681	0.0	0.0
OG_0000087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000090	172.423	462.189	0.0	0.0	102.714	544.789	518.176	0.0	11.249	86.627	584.485	733.146	0.0	0.0	139.452
OG_0000093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000094	0.0	0.0	82.332	0.0	0.0	42.687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000114	172.276	107.963	0.0	0.0	17.069	161.429	417.487	167.118	0.0	261.11	313.77	544.738	119.162	14.75	117.621
OG_0000115	0.0	271.836	174.606	68.356	62.142	26.039	127.78	262.616	101.838	11.869	66.086	85.25	226.0	58.396	21.887
OG_0000117	73.565	37.0	129.63	96.687	18.344	32.755	31.024	140.097	105.56	15.68	32.689	12.648	41.619	37.622	0.0
OG_0000122	0.0	0.0	11.172	0.0	0.0	0.0	0.0	13.115	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000126	760.168	0.0	0.0	0.0	0.0	350.73	0.0	0.0	7.0	2.0	439.415	0.0	0.0	0.0	0.0
OG_0000129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000132	95.28	0.0	0.0	0.0	0.0	49.649	0.0	0.0	0.0	0.0	145.438	0.0	0.0	0.0	134.0
OG_0000145	0.0	8.505	6.018	4.193	3.5860000000000003	1.069	0.0	26.271	13.066	0.0	0.0	3.139	0.0	52.929	2.989
OG_0000147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000149	0.0	0.0	0.0	1.0	1.202	28.803	0.0	0.0	3.0	0.0	0.0	0.0	82.351	0.0	1.156
OG_0000153	189.91	143.922	0.0	0.0	35.83	0.0	158.788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
