OG	thaBer01_Brain	thaBer01_Heart	thaBer01_Liver	thaBer01_Muscle	thaBer02_Brain	thaBer02_Heart	thaBer02_Liver	thaBer02_Muscle	thaBer03_Brain	thaBer03_Heart	thaBer03_Liver	thaBer03_Muscle
OG_0000001	557.552	14.602	0.0	178.073	860.3009999999999	0.0	0.0	350.611	1559.358	40.565	0.0	379.32
OG_0000002	0.0	0.0	0.0	0.0	0.0	0.0	374.184	0.0	0.0	63.17	0.0	0.0
OG_0000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
OG_0000023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.691
OG_0000031	0.0	199.0	581.0	329.581	0.0	117.0	361.0	511.0	0.0	881.0	184.0	305.887
OG_0000032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000068	5.88	0.0	0.0	0.0	14.576	0.0	0.0	0.0	8.223	0.0	0.0	12.234
OG_0000069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000070	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000079	0.0	0.0	310.751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.994	0.0
OG_0000082	64.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.785	224.045	95.896	0.0
OG_0000086	626.751	259.013	277.0	1203.762	1281.119	512.789	453.057	576.237	1346.779	865.773	461.295	1875.052
OG_0000087	274.999	14.298	7.0	28.93	397.818	10.0	57.86	10.0	311.061	0.0	50.931000000000004	5.5
OG_0000090	1964.0	128.0	34.0	176.0	4789.0	9.0	14.0	110.0	4970.0	177.0	0.0	73.336
OG_0000093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000094	0.0	0.0	0.0	0.0	3.443	0.0	0.0	0.0	12.4	0.0	0.0	0.0
OG_0000114	0.0	0.0	7.794	34.295	157.736	0.0	0.0	110.387	217.222	55.534	15.457	116.743
OG_0000115	0.0	0.0	0.0	0.0	0.0	772.683	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000126	242.808	0.0	0.0	0.0	468.023	0.0	0.0	0.0	267.379	0.0	0.0	0.0
OG_0000129	660.0	0.0	0.0	0.0	1377.0	0.0	0.0	1.0	1220.0	3.0	0.0	0.0
OG_0000132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000145	86.0	19.0	52.0	105.0	135.0	55.46	29.0	107.0	158.0	177.0	65.0	65.882
OG_0000147	24.0	0.0	0.0	0.0	26.0	0.0	0.0	16.0	0.0	0.0	0.0	6.0
OG_0000149	30.0	0.0	0.0	1.0	47.0	0.0	2.0	0.0	54.0	0.0	1.0	1.0
