OG	thaCap01_Brain	thaCap01_Heart	thaCap01_Kidney	thaCap01_Liver	thaCap02_Brain	thaCap02_Heart	thaCap02_Kidney	thaCap02_Liver	thaCap03_Brain	thaCap03_Heart	thaCap03_Kidney	thaCap03_Liver
OG_0000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000012	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0
OG_0000023	2.026	5.155	0.0	0.0	0.0	0.0	0.0	0.0	6.977	0.0	2.0	0.0
OG_0000031	1.319	84.303	46.335	36.884	1.0	42.336	16.166	20.198	0.0	57.449	24.151	30.955
OG_0000032	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
OG_0000035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000039	49.287	0.0	0.0	6.0	10.28	0.0	162.0	9.481	14.426	9.0	182.458	0.0
OG_0000068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000070	0.0	0.0	0.0	0.0	6.277	0.0	0.0	0.0	38.152	0.0	0.0	0.0
OG_0000079	203.103	43.0	39.551	29.157	214.212	26.963	19.628	50.359	101.706	11.406	29.136	9.438
OG_0000082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000086	559.0	149.0	816.698	204.395	476.0	84.159	552.95	134.0	92.915	119.0	678.112	227.0
OG_0000087	0.0	5.907	9.754	0.0	0.0	14.0	110.004	0.0	32.847	22.680999999999997	1.0	0.0
OG_0000090	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
