OG	thaRuf01_Brain	thaRuf01_Heart	thaRuf01_Kidney	thaRuf01_Liver	thaRuf01_Muscle	thaRuf02_Brain	thaRuf02_Heart	thaRuf02_Kidney	thaRuf02_Liver	thaRuf02_Muscle	thaRuf03_Brain	thaRuf03_Heart	thaRuf03_Kidney	thaRuf03_Liver	thaRuf03_Muscle
OG_0000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000002	0.0	8.511	15.742	147.026	76.17	73.251	11.259	0.0	286.625	64.615	49.522	177.126	94.37	286.291	147.309
OG_0000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000012	2.0	9.0	5.0	0.0	1.0	1.0	0.0	11.0	0.0	0.0	6.0	0.0	0.0	9.0	0.0
OG_0000023	4.245	9.552	4.407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000031	7.0	145.218	195.741	76.99	176.632	11.0	303.655	521.745	0.0	0.0	0.0	351.169	822.399	149.129	111.539
OG_0000032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000035	0.0	0.0	0.0	0.0	0.0	33.856	0.0	0.0	12.054	0.0	22.386	0.0	0.0	0.0	0.0
OG_0000039	0.0	11.059	189.057	0.0	9.998	0.0	4.879	247.588	0.0	0.0	0.0	0.0	83.243	4.259	4.866
OG_0000068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000070	1578.52	588.522	60.081	151.0	863.038	1206.563	704.003	0.0	112.466	390.426	1446.979	552.048	75.903	0.0	440.066
OG_0000079	0.0	121.793	0.0	4.241	138.117	414.493	2958.449	0.0	89.622	0.0	0.0	1514.57	99.266	0.0	0.0
OG_0000082	0.0	0.0	60.081	0.0	0.0	0.0	0.0	34.88	123.15	49.2	0.0	0.0	133.16	0.0	0.0
