OG	thaTor01_Brain	thaTor01_Heart	thaTor01_Kidney	thaTor01_Liver	thaTor01_Muscle	thaTor02_Brain	thaTor02_Heart	thaTor02_Kidney	thaTor02_Liver	thaTor02_Muscle	thaTor03_Brain	thaTor03_Heart	thaTor03_Kidney	thaTor03_Liver	thaTor03_Muscle
OG_0000001	122.454	0.0	0.0	0.0	0.0	165.735	0.0	0.0	127.67	0.0	64.645	0.0	0.0	0.0	0.0
OG_0000002	0.0	0.0	0.0	163.561	61.193	0.0	25.609	119.642	149.094	48.572	44.757	6.705	0.0	98.209	53.261
OG_0000003	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000012	0.0	0.0	3.0	3.0	0.0	0.0	0.0	6.0	4.0	0.0	0.0	0.0	16.0	0.0	0.0
OG_0000023	0.0	51.307	0.0	0.0	4.299	3.268	0.0	4.868	4.254	36.572	3.176	9.86	0.0	20.186	0.0
OG_0000031	3.0	0.0	0.0	0.0	0.0	8.0	120.315	0.0	163.078	115.802	1.0	400.944	162.127	0.0	103.183
OG_0000032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000039	5.44	0.0	67.069	0.0	0.0	16.058	0.0	19.549	0.0	0.0	4.925	0.0	38.007	0.0	4.955
OG_0000068	19.889	0.0	0.0	0.0	0.0	3.219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000070	1830.268	882.765	63.477	103.497	924.295	1830.165	981.759	71.56	164.652	334.861	1890.857	972.869	41.873	0.0	501.844
OG_0000079	37.988	737.431	0.0	0.0	343.0	320.301	0.0	61.463	0.0	15.907	383.966	0.0	88.563	0.0	11.682
OG_0000082	605.441	0.0	0.0	0.0	0.0	0.0	375.633	46.294	0.0	81.385	232.672	0.0	0.0	0.0	418.078
OG_0000086	354.748	85.769	258.768	195.091	127.38	313.025	111.829	296.098	182.513	143.878	314.628	141.515	547.187	175.426	121.799
OG_0000087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.59	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000090	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000094	0.0	0.0	13.473	27.849	0.0	4.605	5.71	30.822	0.0	0.0	0.0	0.0	0.0	60.821	0.0
OG_0000114	0.0	1.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000115	18.011	20.366	0.0	0.0	0.0	0.0	10.226	58.417	18.685	0.0	0.0	6.459	0.0	54.577	0.0
OG_0000117	0.0	0.0	0.0	0.0	5.767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000129	0.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0
OG_0000132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000145	49.173	0.0	0.0	0.0	57.001	0.0	0.0	0.0	0.0	23.761	0.0	0.0	0.0	0.0	0.0
OG_0000147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000149	24.0	5.0	1329.692	2.0	0.0	145.74	6.0	2150.118	1.0	0.0	171.0	0.0	2383.272	0.0	0.0
OG_0000153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0000157	373.831	0.0	0.0	0.0	0.0	386.342	0.0	0.0	0.0	0.0	399.518	0.0	69.714	0.0	0.0
OG_0000180	0.0	0.0	0.0	0.0	0.0	0.0	94.584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
