"Tissue","OG","n_pairs","Pairs","species","gene_id","galGal_geneID","taeGut_geneID"
"Brain","OG_0000001",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","drySqu","SEC31B-like_stringtie_mRNA_4151",NA,NA
"Brain","OG_0000001",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCan","SEC31B-like_stringtie_mRNA_22503",NA,NA
"Brain","OG_0000001",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCri","stringtie_mRNA_42005",NA,NA
"Brain","OG_0000001",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakLuc","SEC31B-like_stringtie_mRNA_18308",NA,NA
"Brain","OG_0000001",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaAtr","SEC31B-like_stringtie_mRNA_43264",NA,NA
"Brain","OG_0000001",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaBer","SEC31B-like_stringtie_mRNA_38728",NA,NA
"Brain","OG_0000001",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaCae","SEC31B-like_stringtie_mRNA_24293",NA,NA
"Brain","OG_0000001",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaDol","SEC31B-like_stringtie_mRNA_5965",NA,NA
"Brain","OG_0000001",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaRuf","stringtie_mRNA_37870",NA,NA
"Brain","OG_0000039",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","drySqu","Fhl5-like_stringtie_mRNA_2186",NA,NA
"Brain","OG_0000039",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCan","Fhl5-like_stringtie_mRNA_8548",NA,NA
"Brain","OG_0000039",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCri","Fhl5-like_stringtie_mRNA_9840",NA,NA
"Brain","OG_0000039",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakLuc","XM_046938895.1.205",NA,NA
"Brain","OG_0000039",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaAtr","XM_002194821.6.56",NA,NA
"Brain","OG_0000039",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaBer","XM_002194821.6.3",NA,NA
"Brain","OG_0000039",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaCae","XM_002194821.6.12",NA,NA
"Brain","OG_0000039",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaDol","Fhl5-like_stringtie_mRNA_8892",NA,NA
"Brain","OG_0000039",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaRuf","XM_046938895.1.33",NA,NA
"Brain","OG_0000086",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","drySqu","Clcn7-like_stringtie_mRNA_8229",NA,NA
"Brain","OG_0000086",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCan","XM_030284716.4.214",NA,NA
"Brain","OG_0000086",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCri","Clcn7-like_stringtie_mRNA_14177",NA,NA
"Brain","OG_0000086",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakLuc","Clcn7-like_stringtie_mRNA_2510",NA,NA
"Brain","OG_0000086",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaAtr","XM_030284716.4.3233",NA,NA
"Brain","OG_0000086",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaBer","Clcn7-like_stringtie_mRNA_11313",NA,NA
"Brain","OG_0000086",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaCae","Clcn7-like_stringtie_mRNA_23356",NA,NA
"Brain","OG_0000086",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaDol","Clcn7-like_stringtie_mRNA_30029",NA,NA
"Brain","OG_0000086",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaRuf","Clcn7-like_stringtie_mRNA_23475",NA,NA
"Brain","OG_0000129",4,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","drySqu","rm2-like_stringtie_mRNA_1655",NA,NA
"Brain","OG_0000129",4,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCan","XM_015292870.4.569",NA,NA
"Brain","OG_0000129",4,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCri","XM_015292870.4.608",NA,NA
"Brain","OG_0000129",4,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakLuc","XM_015292870.4.721",NA,NA
"Brain","OG_0000129",4,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaAtr","rm2-like_stringtie_mRNA_41663",NA,NA
"Brain","OG_0000129",4,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaBer","rm2-like_stringtie_mRNA_35832",NA,NA
