"Tissue","OG","n_pairs","Pairs","species","gene_id","transcript_root","galGal_geneID","taeGut_geneID"
"Kidney","OG_0000031",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","drySqu","F8-like_stringtie_mRNA_36170","F8-like_stringtie_mRNA_36170",NA,NA
"Kidney","OG_0000031",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","sakCan","F8-like_stringtie_mRNA_60886","F8-like_stringtie_mRNA_60886",NA,NA
"Kidney","OG_0000031",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","sakCri","XM_030272949.4.143","XM_030272949.4",NA,"F8"
"Kidney","OG_0000031",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","sakLuc","XM_072929281.1.231","XM_072929281.1",NA,"F8"
"Kidney","OG_0000031",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaAtr","XM_030272949.4.1771","XM_030272949.4",NA,"F8"
"Kidney","OG_0000031",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaBer","F8-like_stringtie_mRNA_8422","F8-like_stringtie_mRNA_8422",NA,NA
"Kidney","OG_0000031",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaCae","XM_030272949.4.413","XM_030272949.4",NA,"F8"
"Kidney","OG_0000031",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaDol","XM_030272949.4.81","XM_030272949.4",NA,"F8"
"Kidney","OG_0000031",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaRuf","XM_072929281.1.1184","XM_072929281.1",NA,"F8"
"Kidney","OG_0000039",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","drySqu","Fhl5-like_stringtie_mRNA_2186","Fhl5-like_stringtie_mRNA_2186",NA,NA
"Kidney","OG_0000039",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","sakCan","Fhl5-like_stringtie_mRNA_8548","Fhl5-like_stringtie_mRNA_8548",NA,NA
"Kidney","OG_0000039",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","sakCri","Fhl5-like_stringtie_mRNA_9840","Fhl5-like_stringtie_mRNA_9840",NA,NA
"Kidney","OG_0000039",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","sakLuc","XM_046938895.1.205","XM_046938895.1","FHL5",NA
"Kidney","OG_0000039",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","thaAtr","XM_002194821.6.56","XM_002194821.6",NA,"FHL5"
"Kidney","OG_0000039",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","thaBer","XM_002194821.6.3","XM_002194821.6",NA,"FHL5"
