"Tissue","OG","n_pairs","Pairs","species","gene_id"
"Muscle","OG_0000145",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","drySqu","stringtie_mRNA_33679"
"Muscle","OG_0000145",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCan","Cdc42bpa-like_stringtie_mRNA_32685"
"Muscle","OG_0000145",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCri","stringtie_mRNA_10510"
"Muscle","OG_0000145",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakLuc","Cdc42bpa-like_stringtie_mRNA_17686"
"Muscle","OG_0000145",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaAtr","Cdc42bpa-like_stringtie_mRNA_13260"
"Muscle","OG_0000145",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaBer","CDC42BPA-like_stringtie_mRNA_661"
"Muscle","OG_0000145",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaCae","CDC42BPA-like_stringtie_mRNA_56927"
"Muscle","OG_0000145",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaDol","Cdc42bpa-like_stringtie_mRNA_23227"
"Muscle","OG_0000145",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaRuf","stringtie_mRNA_23199"
"Muscle","OG_0000219",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","drySqu","MYO18A-like_stringtie_mRNA_7627"
"Muscle","OG_0000219",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCan","MYO18A-like_stringtie_mRNA_26798"
"Muscle","OG_0000219",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCri","XM_072937314.1.207"
"Muscle","OG_0000219",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakLuc","MYO18A-like_stringtie_mRNA_9394"
"Muscle","OG_0000219",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaAtr","XM_072937319.1.1989"
"Muscle","OG_0000219",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaBer","XM_072937317.1.107"
"Muscle","OG_0000219",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaCae","stringtie_mRNA_44339"
"Muscle","OG_0000219",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaDol","MYO18A-like_stringtie_mRNA_8174"
"Muscle","OG_0000219",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaRuf","stringtie_mRNA_51411"
"Muscle","OG_0001340",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","drySqu","HRAS-like_stringtie_mRNA_10133"
"Muscle","OG_0001340",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCan","XM_030273075.4.102"
"Muscle","OG_0001340",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCri","stringtie_mRNA_27390"
"Muscle","OG_0001340",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakLuc","HRAS-like_stringtie_mRNA_18720"
"Muscle","OG_0001340",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaAtr","HRAS-like_stringtie_mRNA_29870"
"Muscle","OG_0001340",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaBer","XM_030273075.4.34"
"Muscle","OG_0001340",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaCae","HRAS-like_stringtie_mRNA_60521"
"Muscle","OG_0001340",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaDol","HRAS-like_stringtie_mRNA_42868"
"Muscle","OG_0001340",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaRuf","HRAS-like_stringtie_mRNA_53539"
"Muscle","OG_0001523",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","drySqu","RYR1-like_stringtie_mRNA_34797"
"Muscle","OG_0001523",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCan","RYR3-like_stringtie_mRNA_33540"
"Muscle","OG_0001523",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCri","RYR3-like_stringtie_mRNA_29738"
"Muscle","OG_0001523",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakLuc","RYR3-like_stringtie_mRNA_16027"
"Muscle","OG_0001523",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaAtr","RYR3-like_stringtie_mRNA_36844"
"Muscle","OG_0001523",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaBer","RYR3-like_stringtie_mRNA_31408"
"Muscle","OG_0001523",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaCae","Ryr3-like_stringtie_mRNA_5874"
"Muscle","OG_0001523",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaDol","RYR3-like_stringtie_mRNA_43562"
"Muscle","OG_0001523",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaRuf","Ryr3-like_stringtie_mRNA_5123"
"Muscle","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","drySqu","Bltp1-like_stringtie_mRNA_12241"
"Muscle","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCan","BLTP1-like_stringtie_mRNA_56375"
"Muscle","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCri","Bltp1-like_stringtie_mRNA_14350"
"Muscle","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakLuc","BLTP1-like_stringtie_mRNA_13291"
"Muscle","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaAtr","BLTP1-like_stringtie_mRNA_29847"
"Muscle","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaBer","BLTP1-like_stringtie_mRNA_11652"
"Muscle","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaCae","BLTP1-like_stringtie_mRNA_57462"
"Muscle","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaDol","BLTP1-like_stringtie_mRNA_36592"
"Muscle","OG_0001717",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaRuf","BLTP1-like_stringtie_mRNA_35253"
"Muscle","OG_0002145",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","drySqu","stringtie_mRNA_38098"
"Muscle","OG_0002145",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCan","POR-like_stringtie_mRNA_38484"
"Muscle","OG_0002145",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCri","stringtie_mRNA_18363"
"Muscle","OG_0002145",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakLuc","stringtie_mRNA_2749"
"Muscle","OG_0002145",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaAtr","stringtie_mRNA_1151"
"Muscle","OG_0002145",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaBer","stringtie_mRNA_42738"
"Muscle","OG_0002145",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaCae","stringtie_mRNA_24017"
"Muscle","OG_0002145",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaDol","stringtie_mRNA_7854"
"Muscle","OG_0002145",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaRuf","stringtie_mRNA_55709"
