"Tissue","OG","n_pairs","Pairs","species","gene_id","transcript_root","galGal_geneID","taeGut_geneID"
"Muscle","OG_0000145",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","drySqu","stringtie_mRNA_33679","stringtie_mRNA_33679",NA,NA
"Muscle","OG_0000145",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCan","Cdc42bpa-like_stringtie_mRNA_32685","Cdc42bpa-like_stringtie_mRNA_32685",NA,NA
"Muscle","OG_0000145",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCri","stringtie_mRNA_10510","stringtie_mRNA_10510",NA,NA
"Muscle","OG_0000145",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakLuc","Cdc42bpa-like_stringtie_mRNA_17686","Cdc42bpa-like_stringtie_mRNA_17686",NA,NA
"Muscle","OG_0000145",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaAtr","Cdc42bpa-like_stringtie_mRNA_13260","Cdc42bpa-like_stringtie_mRNA_13260",NA,NA
"Muscle","OG_0000145",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaBer","CDC42BPA-like_stringtie_mRNA_661","CDC42BPA-like_stringtie_mRNA_661",NA,NA
"Muscle","OG_0000145",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaCae","CDC42BPA-like_stringtie_mRNA_56927","CDC42BPA-like_stringtie_mRNA_56927",NA,NA
"Muscle","OG_0000145",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaDol","Cdc42bpa-like_stringtie_mRNA_23227","Cdc42bpa-like_stringtie_mRNA_23227",NA,NA
"Muscle","OG_0000145",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaRuf","stringtie_mRNA_23199","stringtie_mRNA_23199",NA,NA
"Muscle","OG_0000219",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","drySqu","MYO18A-like_stringtie_mRNA_7627","MYO18A-like_stringtie_mRNA_7627",NA,NA
"Muscle","OG_0000219",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCan","MYO18A-like_stringtie_mRNA_26798","MYO18A-like_stringtie_mRNA_26798",NA,NA
"Muscle","OG_0000219",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCri","XM_072937314.1.207","XM_072937314.1",NA,"MYO18A"
