"Tissue","OG","n_pairs","Pairs","species","gene_id"
"Brain","OG_0000001",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","drySqu","SEC31B-like_stringtie_mRNA_4151"
"Brain","OG_0000001",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCan","SEC31B-like_stringtie_mRNA_22503"
"Brain","OG_0000001",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCri","stringtie_mRNA_42005"
"Brain","OG_0000001",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakLuc","SEC31B-like_stringtie_mRNA_18308"
"Brain","OG_0000001",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaAtr","SEC31B-like_stringtie_mRNA_43264"
"Brain","OG_0000001",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaBer","SEC31B-like_stringtie_mRNA_38728"
"Brain","OG_0000001",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaCae","SEC31B-like_stringtie_mRNA_24293"
"Brain","OG_0000001",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaDol","SEC31B-like_stringtie_mRNA_5965"
"Brain","OG_0000001",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaRuf","stringtie_mRNA_37870"
"Brain","OG_0000039",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","drySqu","Fhl5-like_stringtie_mRNA_2186"
"Brain","OG_0000039",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCan","Fhl5-like_stringtie_mRNA_8548"
"Brain","OG_0000039",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCri","Fhl5-like_stringtie_mRNA_9840"
"Brain","OG_0000039",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakLuc","XM_046938895.1.205"
"Brain","OG_0000039",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaAtr","XM_002194821.6.56"
"Brain","OG_0000039",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaBer","XM_002194821.6.3"
"Brain","OG_0000039",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaCae","XM_002194821.6.12"
"Brain","OG_0000039",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaDol","Fhl5-like_stringtie_mRNA_8892"
"Brain","OG_0000039",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaRuf","XM_046938895.1.33"
"Brain","OG_0000086",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","drySqu","Clcn7-like_stringtie_mRNA_8229"
"Brain","OG_0000086",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCan","XM_030284716.4.214"
"Brain","OG_0000086",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCri","Clcn7-like_stringtie_mRNA_14177"
"Brain","OG_0000086",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakLuc","Clcn7-like_stringtie_mRNA_2510"
"Brain","OG_0000086",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaAtr","XM_030284716.4.3233"
"Brain","OG_0000086",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaBer","Clcn7-like_stringtie_mRNA_11313"
"Brain","OG_0000086",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaCae","Clcn7-like_stringtie_mRNA_23356"
"Brain","OG_0000086",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaDol","Clcn7-like_stringtie_mRNA_30029"
