"Tissue","OG","n_pairs","Pairs","species","gene_id"
"Heart","OG_0000082",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","drySqu","HDAC5-like_stringtie_mRNA_34530"
"Heart","OG_0000082",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCan","XM_030255980.4.332"
"Heart","OG_0000082",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCri","HDAC5-like_stringtie_mRNA_47427"
"Heart","OG_0000082",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakLuc","XM_030255980.4.368"
"Heart","OG_0000082",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaAtr","HDAC5-like_stringtie_mRNA_527"
"Heart","OG_0000082",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaBer","HDAC5-like_stringtie_mRNA_39835"
"Heart","OG_0000082",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaCae","HDAC5-like_stringtie_mRNA_25779"
"Heart","OG_0000082",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaDol","XM_030255980.4.118"
"Heart","OG_0000082",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaRuf","HDAC5-like_stringtie_mRNA_8866"
"Heart","OG_0000145",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","drySqu","stringtie_mRNA_33679"
"Heart","OG_0000145",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCan","Cdc42bpa-like_stringtie_mRNA_32685"
"Heart","OG_0000145",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCri","stringtie_mRNA_10510"
"Heart","OG_0000145",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakLuc","Cdc42bpa-like_stringtie_mRNA_17686"
"Heart","OG_0000145",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaAtr","Cdc42bpa-like_stringtie_mRNA_13260"
"Heart","OG_0000145",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaBer","CDC42BPA-like_stringtie_mRNA_661"
