Species	File	Sequences	Total_bp	GC_pct	Bases_masked_bp	Bases_masked_pct	Retroelements_bp	Retroelements_pct	SINEs_bp	SINEs_pct	LINEs_bp	LINEs_pct	LTR_bp	LTR_pct	DNA_transposons_bp	DNA_transposons_pct	Rolling_bp	Rolling_pct	Unclassified_bp	Unclassified_pct	Satellites_bp	Satellites_pct	Simple_bp	Simple_pct	LowComplex_bp	LowComplex_pct
drySqu	drySqu.bp.p_ctg.fa	1240	1182727296	43.07	160618366	13.58	101941895	8.62	871991	0.07	66010270	5.58	35059634	2.96	2166044	0.18	965443	0.08	38710968	3.27	1417919	0.12	11226289	0.95	3018531	0.26
sakCri	sakCri.bp.p_ctg.fa	1567	1223644504	43.13	246442964	20.14	117736583	9.62	565193	0.05	82337527	6.73	34833863	2.85	4207843	0.34	47117	0	32562470	2.66	74615946	6.1	12825128	1.05	3546680	0.29
sakCan	S_canadensis.fasta	3968	1085059061	41.93	119308795	11	86239437	7.95	541550	0.05	62575075	5.77	23122812	2.13	2693060	0.25	115453	0.01	18917061	1.74	1030164	0.09	8097081	0.75	2161782	0.2
sakLuc	S_luctuosus.fasta	4082	1087312964	42.02	119950233	11.03	86049309	7.91	589002	0.05	63161151	5.81	22299156	2.05	2521133	0.23	59105	0.01	19495261	1.79	1043410	0.1	8506800	0.78	2225677	0.2
thaAtr	T_atrinucha.fasta	37250	1143155369	42.25	151866520	13.28	110666076	9.68	693434	0.06	71629710	6.27	38342932	3.35	1606751	0.14	372516	0.03	25028321	2.19	2469375	0.22	9183348	0.8	2465233	0.22
thaBer	T_bernardi.fasta	17394	1194094853	42.11	145068781	12.15	106513444	8.92	635857	0.05	72348930	6.06	33528657	2.81	1663923	0.14	172203	0.01	24021319	2.01	788983	0.07	9353089	0.78	2517352	0.21
thaCae	T_caerulescens.fasta	51358	1180672274	42.85	172161128	14.58	118833649	10.06	650736	0.06	75217340	6.37	42965573	3.64	3950991	0.33	570631	0.05	34319575	2.91	1504772	0.13	10273553	0.87	2651934	0.22
thaDol	ThaDol_18-293.p_ctg.fa	646	1333996172	43.57	360672844	27.04	162872994	12.21	586873	0.04	95295541	7.14	66990580	5.02	4580609	0.34	152512	0.01	126640487	9.49	41651402	3.12	21490326	1.61	2728155	0.2
thaRuf	T_ruficapillus.fasta	6345	1083199217	41.93	121856110	11.25	85987161	7.94	612514	0.06	64102870	5.92	21271777	1.96	1054617	0.1	88270	0.01	23569343	2.18	977011	0.09	7988730	0.74	2164223	0.2
