"Tissue","OG","n_pairs","Pairs","species","gene_id"
"Kidney","OG_0000031",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","drySqu","F8-like_stringtie_mRNA_36170"
"Kidney","OG_0000031",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","sakCan","F8-like_stringtie_mRNA_60886"
"Kidney","OG_0000031",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","sakCri","XM_030272949.4.143"
"Kidney","OG_0000031",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","sakLuc","XM_072929281.1.231"
"Kidney","OG_0000031",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaAtr","XM_030272949.4.1771"
"Kidney","OG_0000031",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaBer","F8-like_stringtie_mRNA_8422"
"Kidney","OG_0000031",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaCae","XM_030272949.4.413"
"Kidney","OG_0000031",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaDol","XM_030272949.4.81"
"Kidney","OG_0000031",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","thaRuf","XM_072929281.1.1184"
"Kidney","OG_0000039",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","drySqu","Fhl5-like_stringtie_mRNA_2186"
"Kidney","OG_0000039",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","sakCan","Fhl5-like_stringtie_mRNA_8548"
"Kidney","OG_0000039",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","sakCri","Fhl5-like_stringtie_mRNA_9840"
"Kidney","OG_0000039",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","sakLuc","XM_046938895.1.205"
"Kidney","OG_0000039",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","thaAtr","XM_002194821.6.56"
"Kidney","OG_0000039",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","thaBer","XM_002194821.6.3"
"Kidney","OG_0000039",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","thaCae","XM_002194821.6.12"
"Kidney","OG_0000039",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","thaDol","Fhl5-like_stringtie_mRNA_8892"
"Kidney","OG_0000039",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","thaRuf","XM_046938895.1.33"
"Kidney","OG_0000094",2,"thaAmb_vs_thaPel;thaRuf_vs_thaTor","drySqu","XM_041715840.2.29"
"Kidney","OG_0000094",2,"thaAmb_vs_thaPel;thaRuf_vs_thaTor","sakCan","XM_041715840.2.81"
"Kidney","OG_0000094",2,"thaAmb_vs_thaPel;thaRuf_vs_thaTor","sakCri","XM_041715840.2.100"
"Kidney","OG_0000094",2,"thaAmb_vs_thaPel;thaRuf_vs_thaTor","sakLuc","XM_041715840.2.302"
"Kidney","OG_0000094",2,"thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaAtr","XM_041715840.2.1969"
"Kidney","OG_0000094",2,"thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaBer","XM_041715840.2.33"
"Kidney","OG_0000094",2,"thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaCae","XM_041715840.2.11"
"Kidney","OG_0000094",2,"thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaDol","XM_041715840.2.6"
"Kidney","OG_0000094",2,"thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaRuf","XM_041715840.2.77"
"Kidney","OG_0000145",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","drySqu","stringtie_mRNA_33679"
"Kidney","OG_0000145",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCan","Cdc42bpa-like_stringtie_mRNA_32685"
"Kidney","OG_0000145",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCri","stringtie_mRNA_10510"
"Kidney","OG_0000145",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakLuc","Cdc42bpa-like_stringtie_mRNA_17686"
"Kidney","OG_0000145",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaAtr","Cdc42bpa-like_stringtie_mRNA_13260"
"Kidney","OG_0000145",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaBer","CDC42BPA-like_stringtie_mRNA_661"
"Kidney","OG_0000145",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaCae","CDC42BPA-like_stringtie_mRNA_56927"
"Kidney","OG_0000145",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaDol","Cdc42bpa-like_stringtie_mRNA_23227"
"Kidney","OG_0000145",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaRuf","stringtie_mRNA_23199"
"Kidney","OG_0000149",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","drySqu","stringtie_mRNA_12769"
"Kidney","OG_0000149",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCan","TRPM6-like_stringtie_mRNA_31238"
"Kidney","OG_0000149",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCri","XM_046905500.1.329"
"Kidney","OG_0000149",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakLuc","XM_046905500.1.560"
"Kidney","OG_0000149",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaAtr","XM_046905500.1.354"
"Kidney","OG_0000149",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaBer","XM_046905500.1.106"
"Kidney","OG_0000149",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaCae","XM_046905500.1.135"
"Kidney","OG_0000149",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaDol","TRPM6-like_stringtie_mRNA_6403"
"Kidney","OG_0000149",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaRuf","TRPM6-like_stringtie_mRNA_51003"
"Kidney","OG_0000278",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","drySqu","SYNE2-like_stringtie_mRNA_5150"
"Kidney","OG_0000278",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCan","SYNE2-like_stringtie_mRNA_29080"
"Kidney","OG_0000278",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCri","SYNE2-like_stringtie_mRNA_33360"
"Kidney","OG_0000278",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakLuc","SYNE2-like_stringtie_mRNA_23557"
"Kidney","OG_0000278",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaAtr","SYNE2-like_stringtie_mRNA_34409"
"Kidney","OG_0000278",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaBer","SYNE2-like_stringtie_mRNA_32412"
