"Tissue","OG","n_pairs","Pairs","species","gene_id"
"Liver","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","drySqu","stringtie_mRNA_61918"
"Liver","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCan","XM_030280904.4.120"
"Liver","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCri","XM_030280904.4.4"
"Liver","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakLuc","SLC2A2-like_stringtie_mRNA_29635"
"Liver","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaAtr","SLC2A2-like_stringtie_mRNA_45739"
"Liver","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaBer","SLC2A2-like_stringtie_mRNA_30312"
"Liver","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaCae","stringtie_mRNA_862"
"Liver","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaDol","XM_030280904.4.12"
"Liver","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaRuf","NM_207178.2.50"
"Liver","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","drySqu","XM_002192960.6.234"
"Liver","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCan","stringtie_mRNA_5933"
"Liver","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCri","XM_002192960.6.419"
"Liver","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakLuc","XM_002192960.6.312"
"Liver","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaAtr","XM_002192960.6.1396"
"Liver","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaBer","XM_002192960.6.96"
"Liver","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaCae","XM_002192960.6.522"
"Liver","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaDol","XM_002192960.6.111"
"Liver","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaRuf","stringtie_mRNA_92"
"Liver","OG_0001094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","drySqu","SLC6A6-like_stringtie_mRNA_16422"
"Liver","OG_0001094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCan","SLC6A6-like_stringtie_mRNA_50159"
"Liver","OG_0001094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCri","SLC6A6-like_stringtie_mRNA_8819"
"Liver","OG_0001094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakLuc","stringtie_mRNA_11876"
"Liver","OG_0001094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaAtr","SLC6A6-like_stringtie_mRNA_29051"
"Liver","OG_0001094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaBer","SLC6A6-like_stringtie_mRNA_35574"
"Liver","OG_0001094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaCae","SLC6A6-like_stringtie_mRNA_62747"
"Liver","OG_0001094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaDol","SLC6A6-like_stringtie_mRNA_17763"
"Liver","OG_0001094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaRuf","stringtie_mRNA_39861"
"Liver","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","drySqu","stringtie_mRNA_44623"
"Liver","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCan","ABCA1-like_stringtie_mRNA_58290"
"Liver","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCri","ABCA1-like_stringtie_mRNA_23067"
"Liver","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakLuc","ABCA1-like_stringtie_mRNA_2172"
"Liver","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaAtr","ABCA1-like_stringtie_mRNA_38093"
"Liver","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaBer","ABCA1-like_stringtie_mRNA_49580"
"Liver","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaCae","ABCA1-like_stringtie_mRNA_8077"
"Liver","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaDol","ABCA1-like_stringtie_mRNA_6839"
"Liver","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaRuf","ABCA1-like_stringtie_mRNA_57762"
"Liver","OG_0001224",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","drySqu","stringtie_mRNA_59384"
"Liver","OG_0001224",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCan","XM_072922018.1.64"
"Liver","OG_0001224",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCri","DHX29-like_stringtie_mRNA_59942"
"Liver","OG_0001224",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakLuc","XM_015277570.4.225"
"Liver","OG_0001224",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaAtr","DHX29-like_stringtie_mRNA_36529"
"Liver","OG_0001224",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaBer","XM_015277570.4.23"
"Liver","OG_0001224",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaCae","DHX29-like_stringtie_mRNA_11137"
"Liver","OG_0001224",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaDol","XM_030258217.4.22"
"Liver","OG_0001224",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaRuf","XM_072922018.1.579"
"Liver","OG_0001973",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","drySqu","PER2-like_stringtie_mRNA_57012"
"Liver","OG_0001973",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCan","XM_015276799.4.13"
"Liver","OG_0001973",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCri","NM_204262.2.46"
"Liver","OG_0001973",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakLuc","XM_040705436.2.5"
"Liver","OG_0001973",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaAtr","XM_040705440.2.924"
