"Tissue","OG","n_pairs","Pairs","species","gene_id","galGal_geneID","taeGut_geneID"
"Heart","OG_0000082",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","drySqu","HDAC5-like_stringtie_mRNA_34530",NA,NA
"Heart","OG_0000082",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCan","XM_030255980.4.332",NA,NA
"Heart","OG_0000082",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCri","HDAC5-like_stringtie_mRNA_47427",NA,NA
"Heart","OG_0000082",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakLuc","XM_030255980.4.368",NA,NA
"Heart","OG_0000082",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaAtr","HDAC5-like_stringtie_mRNA_527",NA,NA
"Heart","OG_0000082",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaBer","HDAC5-like_stringtie_mRNA_39835",NA,NA
"Heart","OG_0000082",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaCae","HDAC5-like_stringtie_mRNA_25779",NA,NA
"Heart","OG_0000082",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaDol","XM_030255980.4.118",NA,NA
"Heart","OG_0000082",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaRuf","HDAC5-like_stringtie_mRNA_8866",NA,NA
"Heart","OG_0000145",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","drySqu","stringtie_mRNA_33679",NA,NA
"Heart","OG_0000145",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCan","Cdc42bpa-like_stringtie_mRNA_32685",NA,NA
"Heart","OG_0000145",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakCri","stringtie_mRNA_10510",NA,NA
"Heart","OG_0000145",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","sakLuc","Cdc42bpa-like_stringtie_mRNA_17686",NA,NA
"Heart","OG_0000145",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaAtr","Cdc42bpa-like_stringtie_mRNA_13260",NA,NA
"Heart","OG_0000145",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaBer","CDC42BPA-like_stringtie_mRNA_661",NA,NA
"Heart","OG_0000145",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaCae","CDC42BPA-like_stringtie_mRNA_56927",NA,NA
"Heart","OG_0000145",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaDol","Cdc42bpa-like_stringtie_mRNA_23227",NA,NA
"Heart","OG_0000145",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","thaRuf","stringtie_mRNA_23199",NA,NA
"Heart","OG_0000278",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","drySqu","SYNE2-like_stringtie_mRNA_5150",NA,NA
"Heart","OG_0000278",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","sakCan","SYNE2-like_stringtie_mRNA_29080",NA,NA
"Heart","OG_0000278",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","sakCri","SYNE2-like_stringtie_mRNA_33360",NA,NA
"Heart","OG_0000278",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","sakLuc","SYNE2-like_stringtie_mRNA_23557",NA,NA
"Heart","OG_0000278",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaAtr","SYNE2-like_stringtie_mRNA_34409",NA,NA
"Heart","OG_0000278",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaBer","SYNE2-like_stringtie_mRNA_32412",NA,NA
"Heart","OG_0000278",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaCae","SYNE2-like_stringtie_mRNA_62627",NA,NA
"Heart","OG_0000278",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaDol","SYNE2-like_stringtie_mRNA_32910",NA,NA
"Heart","OG_0000278",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","thaRuf","SYNE2-like_stringtie_mRNA_10668",NA,NA
"Heart","OG_0001094",5,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","drySqu","SLC6A6-like_stringtie_mRNA_16422",NA,NA
"Heart","OG_0001094",5,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCan","SLC6A6-like_stringtie_mRNA_50159",NA,NA
"Heart","OG_0001094",5,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCri","SLC6A6-like_stringtie_mRNA_8819",NA,NA
