"Tissue","OG","n_pairs","Pairs","species","gene_id","transcript_root","galGal_geneID","taeGut_geneID"
"Liver","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","drySqu","stringtie_mRNA_61918","stringtie_mRNA_61918",NA,NA
"Liver","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCan","XM_030280904.4.120","XM_030280904.4",NA,"SLC2A2"
"Liver","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCri","XM_030280904.4.4","XM_030280904.4",NA,"SLC2A2"
"Liver","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakLuc","SLC2A2-like_stringtie_mRNA_29635","SLC2A2-like_stringtie_mRNA_29635",NA,NA
"Liver","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaAtr","SLC2A2-like_stringtie_mRNA_45739","SLC2A2-like_stringtie_mRNA_45739",NA,NA
"Liver","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaBer","SLC2A2-like_stringtie_mRNA_30312","SLC2A2-like_stringtie_mRNA_30312",NA,NA
"Liver","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaCae","stringtie_mRNA_862","stringtie_mRNA_862",NA,NA
"Liver","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaDol","XM_030280904.4.12","XM_030280904.4",NA,"SLC2A2"
"Liver","OG_0000311",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaRuf","NM_207178.2.50","NM_207178.2","SLC2A2",NA
"Liver","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","drySqu","XM_002192960.6.234","XM_002192960.6",NA,"CYP8B1"
"Liver","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCan","stringtie_mRNA_5933","stringtie_mRNA_5933",NA,NA
"Liver","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCri","XM_002192960.6.419","XM_002192960.6",NA,"CYP8B1"
"Liver","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakLuc","XM_002192960.6.312","XM_002192960.6",NA,"CYP8B1"
"Liver","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaAtr","XM_002192960.6.1396","XM_002192960.6",NA,"CYP8B1"
"Liver","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaBer","XM_002192960.6.96","XM_002192960.6",NA,"CYP8B1"
"Liver","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaCae","XM_002192960.6.522","XM_002192960.6",NA,"CYP8B1"
"Liver","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaDol","XM_002192960.6.111","XM_002192960.6",NA,"CYP8B1"
"Liver","OG_0000396",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaRuf","stringtie_mRNA_92","stringtie_mRNA_92",NA,NA
"Liver","OG_0001094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","drySqu","SLC6A6-like_stringtie_mRNA_16422","SLC6A6-like_stringtie_mRNA_16422",NA,NA
"Liver","OG_0001094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCan","SLC6A6-like_stringtie_mRNA_50159","SLC6A6-like_stringtie_mRNA_50159",NA,NA
"Liver","OG_0001094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCri","SLC6A6-like_stringtie_mRNA_8819","SLC6A6-like_stringtie_mRNA_8819",NA,NA
"Liver","OG_0001094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakLuc","stringtie_mRNA_11876","stringtie_mRNA_11876",NA,NA
"Liver","OG_0001094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaAtr","SLC6A6-like_stringtie_mRNA_29051","SLC6A6-like_stringtie_mRNA_29051",NA,NA
"Liver","OG_0001094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaBer","SLC6A6-like_stringtie_mRNA_35574","SLC6A6-like_stringtie_mRNA_35574",NA,NA
"Liver","OG_0001094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaCae","SLC6A6-like_stringtie_mRNA_62747","SLC6A6-like_stringtie_mRNA_62747",NA,NA
"Liver","OG_0001094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaDol","SLC6A6-like_stringtie_mRNA_17763","SLC6A6-like_stringtie_mRNA_17763",NA,NA
"Liver","OG_0001094",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaRuf","stringtie_mRNA_39861","stringtie_mRNA_39861",NA,NA
"Liver","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","drySqu","stringtie_mRNA_44623","stringtie_mRNA_44623",NA,NA
"Liver","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCan","ABCA1-like_stringtie_mRNA_58290","ABCA1-like_stringtie_mRNA_58290",NA,NA
"Liver","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCri","ABCA1-like_stringtie_mRNA_23067","ABCA1-like_stringtie_mRNA_23067",NA,NA
"Liver","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakLuc","ABCA1-like_stringtie_mRNA_2172","ABCA1-like_stringtie_mRNA_2172",NA,NA
"Liver","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaAtr","ABCA1-like_stringtie_mRNA_38093","ABCA1-like_stringtie_mRNA_38093",NA,NA
"Liver","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaBer","ABCA1-like_stringtie_mRNA_49580","ABCA1-like_stringtie_mRNA_49580",NA,NA
"Liver","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaCae","ABCA1-like_stringtie_mRNA_8077","ABCA1-like_stringtie_mRNA_8077",NA,NA
"Liver","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaDol","ABCA1-like_stringtie_mRNA_6839","ABCA1-like_stringtie_mRNA_6839",NA,NA
"Liver","OG_0001116",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaRuf","ABCA1-like_stringtie_mRNA_57762","ABCA1-like_stringtie_mRNA_57762",NA,NA
"Liver","OG_0001224",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","drySqu","stringtie_mRNA_59384","stringtie_mRNA_59384",NA,NA
"Liver","OG_0001224",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCan","XM_072922018.1.64","XM_072922018.1",NA,"DHX29"
"Liver","OG_0001224",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCri","DHX29-like_stringtie_mRNA_59942","DHX29-like_stringtie_mRNA_59942",NA,NA
"Liver","OG_0001224",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakLuc","XM_015277570.4.225","XM_015277570.4","DHX29",NA
"Liver","OG_0001224",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaAtr","DHX29-like_stringtie_mRNA_36529","DHX29-like_stringtie_mRNA_36529",NA,NA
"Liver","OG_0001224",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaBer","XM_015277570.4.23","XM_015277570.4","DHX29",NA
"Liver","OG_0001224",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaCae","DHX29-like_stringtie_mRNA_11137","DHX29-like_stringtie_mRNA_11137",NA,NA
"Liver","OG_0001224",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaDol","XM_030258217.4.22","XM_030258217.4",NA,"DHX29"
"Liver","OG_0001224",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaRuf","XM_072922018.1.579","XM_072922018.1",NA,"DHX29"
"Liver","OG_0001973",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","drySqu","PER2-like_stringtie_mRNA_57012","PER2-like_stringtie_mRNA_57012",NA,NA
"Liver","OG_0001973",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCan","XM_015276799.4.13","XM_015276799.4","PER2",NA
"Liver","OG_0001973",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakCri","NM_204262.2.46","NM_204262.2","PER2",NA
"Liver","OG_0001973",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","sakLuc","XM_040705436.2.5","XM_040705436.2","PER2",NA
"Liver","OG_0001973",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaAtr","XM_040705440.2.924","XM_040705440.2","PER2",NA
"Liver","OG_0001973",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaBer","PER2-like_stringtie_mRNA_7978","PER2-like_stringtie_mRNA_7978",NA,NA
"Liver","OG_0001973",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaCae","PER2-like_stringtie_mRNA_45795","PER2-like_stringtie_mRNA_45795",NA,NA
"Liver","OG_0001973",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaDol","PER2-like_stringtie_mRNA_37775","PER2-like_stringtie_mRNA_37775",NA,NA
"Liver","OG_0001973",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","thaRuf","PER2-like_stringtie_mRNA_28567","PER2-like_stringtie_mRNA_28567",NA,NA
"Liver","OG_0002165",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","drySqu","VPS13C-like_stringtie_mRNA_47528","VPS13C-like_stringtie_mRNA_47528",NA,NA
"Liver","OG_0002165",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCan","VPS13C-like_stringtie_mRNA_30510","VPS13C-like_stringtie_mRNA_30510",NA,NA
"Liver","OG_0002165",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakCri","VPS13C-like_stringtie_mRNA_59966","VPS13C-like_stringtie_mRNA_59966",NA,NA
"Liver","OG_0002165",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","sakLuc","stringtie_mRNA_39311","stringtie_mRNA_39311",NA,NA
"Liver","OG_0002165",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaAtr","Vps13c-like_stringtie_mRNA_31669","Vps13c-like_stringtie_mRNA_31669",NA,NA
"Liver","OG_0002165",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaBer","VPS13C-like_stringtie_mRNA_11262","VPS13C-like_stringtie_mRNA_11262",NA,NA
"Liver","OG_0002165",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaCae","VPS13C-like_stringtie_mRNA_27720","VPS13C-like_stringtie_mRNA_27720",NA,NA
"Liver","OG_0002165",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaDol","Vps13c-like_stringtie_mRNA_21356","Vps13c-like_stringtie_mRNA_21356",NA,NA
"Liver","OG_0002165",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","thaRuf","Vps13c-like_stringtie_mRNA_60363","Vps13c-like_stringtie_mRNA_60363",NA,NA
"Liver","OG_0002261",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","drySqu","XM_041716764.2.5","XM_041716764.2",NA,"BAZ1A"
"Liver","OG_0002261",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCan","BAZ1A-like_stringtie_mRNA_33727","BAZ1A-like_stringtie_mRNA_33727",NA,NA
"Liver","OG_0002261",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakCri","BAZ1A-like_stringtie_mRNA_29544","BAZ1A-like_stringtie_mRNA_29544",NA,NA
"Liver","OG_0002261",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","sakLuc","XM_040701948.2.15","XM_040701948.2","BAZ1A",NA
"Liver","OG_0002261",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaAtr","BAZ1A-like_stringtie_mRNA_34777","BAZ1A-like_stringtie_mRNA_34777",NA,NA
"Liver","OG_0002261",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaBer","BAZ1A-like_stringtie_mRNA_31629","BAZ1A-like_stringtie_mRNA_31629",NA,NA
"Liver","OG_0002261",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaCae","BAZ1A-like_stringtie_mRNA_38604","BAZ1A-like_stringtie_mRNA_38604",NA,NA
"Liver","OG_0002261",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaDol","BAZ1A-like_stringtie_mRNA_43739","BAZ1A-like_stringtie_mRNA_43739",NA,NA
"Liver","OG_0002261",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","thaRuf","XM_041716764.2.540","XM_041716764.2",NA,"BAZ1A"
"Liver","OG_0002266",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","drySqu","XM_030272951.4.129","XM_030272951.4",NA,"OGT"
"Liver","OG_0002266",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCan","Ogt-like_stringtie_mRNA_60922","Ogt-like_stringtie_mRNA_60922",NA,NA
"Liver","OG_0002266",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakCri","XM_030272952.4.143","XM_030272952.4",NA,"OGT"
"Liver","OG_0002266",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","sakLuc","OGT-like_stringtie_mRNA_38763","OGT-like_stringtie_mRNA_38763",NA,NA
"Liver","OG_0002266",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaAtr","Ogt-like_stringtie_mRNA_49245","Ogt-like_stringtie_mRNA_49245",NA,NA
"Liver","OG_0002266",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaBer","XM_030272951.4.99","XM_030272951.4",NA,"OGT"
"Liver","OG_0002266",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","thaCae","Ogt-like_stringtie_mRNA_50396","Ogt-like_stringtie_mRNA_50396",NA,NA
